METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
9409934,2,1,0,04
Time after setup,10.66152449999936
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
ESQ,243.3482635000255,,Emotion_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,243.35259580001002,,Deliberate_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,245.91434650000883,,Deliberate_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test3
ESQ,245.91679600003408,,Intrusive_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,247.3640435000416,,Intrusive_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test3
ESQ,247.36613480001688,,Distracting_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,248.68146270001307,,Distracting_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,248.68398980004713,,Absorption_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,249.96433730004355,,Absorption_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,249.96709690004354,,Images_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,251.48162979999324,,Images_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,251.48431220004568,,Detailed_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,252.89939390000654,,Detailed_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,252.90196640003705,,Words_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,254.53333210002165,,Words_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test3
ESQ,254.53553340001963,,Knowledge_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,255.96468910004478,,Knowledge_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
Movie prompt 2 test3.mp4,256.00701960001606,,,,Movie Task,1,2,,0,
