METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
3162845,4,8,16,subject004,,,,,,
Time after setup,21.089397,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Movie Task,,,,,,,,,
ESQ,1766.295792,,Images_response,6.2,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,1770.181796,,Past_response,2.3,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,1773.633759,,Focus_response,1,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,1776.970783,,Words_response,6,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1781.958149,,Knowledge_response,4.1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1784.892789,,Deliberate_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1788.946771,,Self_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1794.434769,,Detailed_response,2.1,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,1798.90477,,Emotion_response,4.5,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,1803.057767,,Future_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1807.661773,,Problem_response,1.3,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,1816.117754,,Other_response,1,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,1819.737746,,Sounds_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1822.890564,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1826.34375,,Distracting_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1826.360758,,,,,,,,,
ESQ,1960.182954,,Knowledge_response,1.5,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1963.868943,,Past_response,5,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,1968.172903,,Sounds_response,2.3,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,1971.709887,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,1976.829894,,Distracting_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,1981.950934,,Words_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1985.635883,,Self_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,1989.506859,,Future_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1995.494555,,Deliberate_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,2000.181488,,Problem_response,2.7,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,2004.868194,,Images_response,6.5,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,2007.704204,,Detailed_response,2.1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,2010.40587,,Absorption_response,1,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,2017.929903,,Emotion_response,3.7,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,2021.598977,,Other_response,5.8,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,2024.801206,,Focus_response,1,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2024.818888,,,,,,,,,
ESQ,2156.338891,,Deliberate_response,2.5,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,2185.863849,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,2189.19882,,Problem_response,2.1,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,2191.834855,,Sounds_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,2194.319553,,Focus_response,1,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,2198.672879,,Distracting_response,4.1,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,2202.34291,,Emotion_response,2.5,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,2204.894774,,Images_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,2208.763875,,Knowledge_response,4,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,2212.366766,,Past_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,2216.070799,,Self_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,2219.656765,,Other_response,3.4,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,2221.992819,,Absorption_response,1,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,2226.828879,,Detailed_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,2233.033805,,Future_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,2235.685862,,Words_response,3,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2235.70358,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2253.412764,,,,,,,,,
ESQ,2259.320801,,Detailed_response,1,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-c4
ESQ,2262.35881,,Knowledge_response,3,Experience Sampling Questions,1,4,,Marker Started at 3,Movie Task-Movie Task-c4
ESQ,2266.728755,,Future_response,1,Experience Sampling Questions,1,4,,Marker Started at 9,Movie Task-Movie Task-c4
ESQ,2269.913798,,Sounds_response,6.2,Experience Sampling Questions,1,4,,Marker Started at 10,Movie Task-Movie Task-c4
ESQ,2272.765724,,Focus_response,1,Experience Sampling Questions,1,4,,Marker Started at 7,Movie Task-Movie Task-c4
ESQ,2276.919772,,Emotion_response,2.3,Experience Sampling Questions,1,4,,Marker Started at 9,Movie Task-Movie Task-c4
ESQ,2282.99075,,Deliberate_response,5.6,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-c4
ESQ,2286.293769,,Self_response,1,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-c4
ESQ,2289.21274,,Past_response,2.3,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-c4
ESQ,2294.532795,,Problem_response,5.1,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-c4
ESQ,2299.43775,,Words_response,7.1,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-c4
ESQ,2302.571739,,Absorption_response,1,Experience Sampling Questions,1,4,,Marker Started at 3,Movie Task-Movie Task-c4
ESQ,2306.175725,,Intrusive_response,1,Experience Sampling Questions,1,4,,Marker Started at 7,Movie Task-Movie Task-c4
ESQ,2309.228345,,Distracting_response,1,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-c4
ESQ,2312.197724,,Images_response,1,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-c4
ESQ,2316.400783,,Other_response,5.5,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-c4
 ,,,,,,,,,,
Runtime Mod,5,,,,,,,,,
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,2316.409968,,,,,,,,,
